OPERATION_ID,OPERATION_NAME,CITY,ADDRESS_LINE,ZIPCODE,DEFICIENCY_HIGH,DEFICIENCY_MEDIUM_HIGH,DEFICIENCY_MEDIUM,DEFICIENCY_MEDIUM_LOW,DEFICIENCY_LOW,TOTAL_DEFICIENCIES,DEFICIENCY_RATE,HIGH_DEFICIENCY_RATE,TOTAL_CAPACITY,TOTAL_INSPECTIONS,TOTAL_ASSESSMENTS,YEARS_IN_OPERATION,IS_ACCREDITED,ACCEPTS_SUBSIDIES,HAS_CORRECTIVE_ACTION,HAS_ADVERSE_ACTION,WAS_TEMP_CLOSED,place_id,google_name,google_rating,google_review_count,match_confidence
103670,Blessed Sacrament Parish Daycare,SAN ANTONIO,102 SHARON DR,78216 7318,1,7,2,1,0,11,1.571,0.143,123,7,0,38.1,0,1,0,0,0,ChIJ05StCO9fXIYRWGWfRIvcIRw,Blessed Sacrament Child Development Center,4.4,31.0,medium_confidence
1458361,Empire Academy Inc,HOUSTON,13222 TIDWELL RD,77044 1531,5,3,5,0,0,13,1.182,0.455,41,11,3,2.0,0,1,0,0,0,ChIJ06KFLPulQIYRHpIXnhwUVuE,Empire Academy Childcare Center,3.7,3.0,medium_confidence
1382693,Austin Baptist Church,AUSTIN,7016 RIBELIN RANCH RD,78750 8583,2,2,3,0,0,7,0.7,0.2,75,10,0,4.0,0,0,0,0,0,ChIJ08nZvpDLRIYRZk0Z2hEWCrE,Austin Baptist Church,4.7,96.0,high_confidence
207359,The Community School Park Cities,DALLAS,3412 BINKLEY AVE,75205 2230,3,8,2,0,0,13,0.722,0.167,80,18,0,23.6,0,0,0,0,0,ChIJ09U1cgOfToYRPPD3rkVxiJs,The Community School of the Park Cities,4.7,22.0,high_confidence
108046,Clear Lake KinderCare,HOUSTON,14777 EL CAMINO REAL,77062 2176,1,5,2,0,0,8,0.667,0.083,119,12,0,35.9,1,1,0,0,0,ChIJ09VBRgqcQIYRKFN-FOOpP1c,Clear Lake KinderCare,4.7,44.0,high_confidence
1335150,The Kid's Garden Learning Center,SAN ANTONIO,10918 WURZBACH RD STE 100,78230 2578,5,29,5,1,0,40,0.93,0.116,147,43,3,5.9,0,1,0,0,0,ChIJ09d7s8FgXIYROZjxG6d9N1w,The Kids Garden Learning Center I,4.0,8.0,high_confidence
732788,"The Station of Imagination Child Care, LLC",HOUSTON,7030 ADDICKS CLODINE RD STE 109,77083 2346,2,10,3,0,0,15,3.0,0.4,92,5,0,14.9,0,1,0,0,0,ChIJ0QOnXmjeQIYRniFbU2HlzeI,Station of Imagination Child Care LLC,4.5,8.0,high_confidence
192215,Humble Beginners,HOUSTON,3713 SAYERS ST,77026 4735,5,3,6,1,1,16,1.778,0.556,50,9,0,24.3,0,1,0,0,0,ChIJ0RC0gT-5QIYR5JVqIhw738E,Humble Beginners Daycare,3.9,7.0,high_confidence
1513122,Immersion Montessori Academy,SAN ANTONIO,11102 WEST AVE,78213 1337,0,1,1,0,0,2,0.667,0.0,16,3,0,0.3,0,0,0,0,0,ChIJ0RGTPPxhXIYRvsmdcMCMWZ4,Immersion Montessori Academy,4.9,43.0,high_confidence
1471687,Kids Klub Learning Center,HOUSTON,5950 S GESSNER RD STE J,77036 2675,7,18,12,0,2,39,3.545,0.636,62,11,1,1.2,0,1,0,0,0,ChIJ0S07ueDCQIYRmo1ivIdXL-M,Kids Klub Learning Center - Daycare/Afterschool,4.1,26.0,medium_confidence
1515101,Stepping Stone School IV,AUSTIN,9914 WOODLAND VILLAGE DR,78750 2220,0,0,0,0,0,0,0.0,0.0,108,4,0,0.3,0,0,0,0,0,ChIJ0VItzskyW4YRoqZ1I4oZml4,Stepping Stone School - Northwest Austin,4.7,44.0,medium_confidence
137482,Playtime Daycare,SAN ANTONIO,11470 S FOSTER RD,78223 4431,1,7,8,0,0,16,1.333,0.083,140,12,0,31.3,0,0,0,0,0,ChIJ0ZZiH0_6XIYRic7-1BjLM1s,Play time Day Care,4.4,28.0,medium_confidence
793917,Little Stars Child Care,HOUSTON,14434 BELLAIRE BLVD,77083 7520,1,0,0,0,0,1,0.111,0.111,105,9,0,14.5,0,1,0,0,0,ChIJ0ZcMMdfdQIYRKq_sqQDj2Xw,Little Stars Child Care,4.5,33.0,high_confidence
1321695,Little Einsteins Learning Center LLC,DALLAS,9205 SKILLMAN ST STE 117,75243 7324,2,5,5,0,0,12,0.667,0.111,87,18,2,6.6,0,1,0,0,0,ChIJ0ZhCpegfTIYRvXHpc9naiyI,Little Einsteins Learning Center- Dallas,4.3,46.0,high_confidence
1525834,The Learning Experience- Houston Heights,HOUSTON,1915 AIRLINE DR,77009 2544,0,0,0,0,0,0,0.0,0.0,256,1,0,0.0,0,0,0,0,0,ChIJ0_onBgC5QIYRDEaKwYDB9T4,The Learning Experience - Houston Heights,5.0,1.0,high_confidence
1280128,Beaming Bright Learning Center,SAN ANTONIO,4222 SUNSHADOW ST,78217 4324,5,8,5,0,1,19,1.357,0.357,95,14,0,8.1,0,1,0,0,0,ChIJ0atuKE2LXIYR3nsflRU_tlo,Beaming Bright Learning Center,4.8,69.0,high_confidence
148218,Montessori Preschool at Copperfield,HOUSTON,8007 QUEENSTON BLVD,77095 4730,0,2,0,0,0,2,0.286,0.0,133,7,0,28.7,0,1,0,0,0,ChIJ0azhpR_XQIYRAeW1UdYzEFE,Montessori Preschool at Copperfield,4.6,30.0,high_confidence
356740,Silver Star Academy,HOUSTON,5610 E SAM HOUSTON PKWY N,77015 3249,11,1,3,0,0,15,0.833,0.611,207,18,1,16.5,0,1,0,0,0,ChIJ0bwzwT-kQIYRxKpOx-JlMIw,Silver Star Academy,4.2,51.0,high_confidence
1239589,The Learning Experience,AUSTIN,15542 RANCH ROAD 620 N,78717 5206,6,5,4,0,0,15,0.652,0.261,203,23,0,9.3,0,1,0,0,0,ChIJ0e2Z_njSRIYReYhOHgh9yhI,The Learning Experience - Brushy Creek,4.6,52.0,medium_confidence
1420232,Generation One Academy,HOUSTON,2600 HOLMAN ST BLDG A,77004 3234,6,2,1,1,0,10,0.714,0.429,102,14,1,2.8,0,1,0,0,0,ChIJ0f1wHwK_QIYRJPnu3plgMOM,Generation One,4.2,25.0,medium_confidence
1321089,Learn and Laugh Preschool,AUSTIN,11715 FM 2244,78738 6315,6,19,7,1,0,33,2.357,0.429,43,14,0,7.0,0,1,0,0,0,ChIJ0fAV1MY3W4YRLb8XrElSq38,Learn and Laugh Preschool,5.0,11.0,high_confidence
1140244,Lupine Lane,AUSTIN,1001 HIGHLANDS BLVD,78738 6174,2,1,0,0,0,3,0.375,0.25,120,8,0,11.2,0,0,0,0,0,ChIJ0w3PGQ05W4YRcTd1flJWgPE,Lupine Lane,5.0,4.0,high_confidence
1451612,LEGACY KIDS ACADEMY,HOUSTON,4500 HIGHWAY 6 N STE C,77084 3402,2,1,3,0,1,7,0.875,0.25,102,8,0,2.0,0,1,0,0,0,ChIJ1-dFwEUsKIERDxUezHwdhB0,Legacy Kids Academy-Houston,5.0,18.0,high_confidence
1492478,Red Leaf Learning Academy,HOUSTON,14360 BELLAIRE BLVD STE 128,77083 7516,0,5,1,0,0,6,0.667,0.0,108,9,0,0.6,0,0,0,0,0,ChIJ10T97_PdQIYRtGSdStJ2Hio,Red Leaf Learning Academy,5.0,90.0,high_confidence
1340286,Ready Learners Academy,HOUSTON,1002 ALMEDA GENOA RD,77047 4204,9,7,3,0,1,20,1.111,0.5,84,18,1,5.5,0,1,0,0,0,ChIJ146VdevrQIYRlwtf43OsjZk,Ready Learners Academy,5.0,3.0,high_confidence
275098,Primrose School,FORT WORTH,3125 EAGLE RANCH BLVD,76179 2224,3,2,0,0,0,5,0.294,0.176,220,17,0,20.0,1,0,0,0,0,ChIJ14WpqvrfTYYR2pw0RxkJoHk,Primrose School at Eagle Ranch,4.7,43.0,medium_confidence
1192019,Bright Kids Child Development Center,AUSTIN,10713 N FM 620 STE 101,78726 1700,1,2,0,0,0,3,0.429,0.143,76,7,0,9.9,0,1,0,0,0,ChIJ153GHlkyW4YRDE15wAloTWw,Bright Kids Child Development Center,5.0,20.0,high_confidence
1423185,The Nest at Anderson Mill,AUSTIN,11812 MILLWRIGHT PKWY,78750 1613,4,5,3,0,0,12,0.48,0.16,216,25,0,2.8,0,1,0,0,0,ChIJ15MfIBQzW4YRy3o0MDEKRH0,The Nest at Anderson Mill,4.5,31.0,high_confidence
158821,The Childrens Courtyard,FORT WORTH,2301 WESTERN CENTER BLVD,76131 1205,14,7,6,0,0,27,1.227,0.636,212,22,0,26.5,0,1,0,0,0,ChIJ16X-IiF2ToYRWuPlP1FpBHE,The Children's Courtyard on Western Center Blvd,4.4,90.0,medium_confidence
1504551,Latanya Little Hands Academy,SAN ANTONIO,5063 RIGSBY AVE,78222 1304,1,3,2,0,0,6,1.0,0.167,79,6,0,0.1,0,0,0,0,0,ChIJ16nunx7xXIYR6MwZnO-FCaE,Latanya Little Hands Academy,5.0,10.0,high_confidence
284453,Smaller Scholars,HOUSTON,1685 &1675 S DAIRY ASHFORD,77077,6,12,4,0,0,22,1.467,0.4,493,15,2,20.1,1,0,0,0,0,ChIJ18683WLcQIYROq4DizHlcvo,Smaller Scholars Montessori Academy,4.6,58.0,medium_confidence
1404816,KCE Champions LLC @ Ben Milam,DALLAS,4200 MCKINNEY AVE,75205 4526,3,3,2,0,0,8,0.727,0.273,60,11,0,3.1,0,1,0,0,0,ChIJ18FFYUmfToYRdmAQcvysgy8,Champions at Ben Milam Elementary School,5.0,1.0,medium_confidence
1257587,USA Karate,HOUSTON,11101 RESOURCE PKWY,77089 6059,0,0,2,0,0,2,0.333,0.0,120,6,0,8.6,0,0,0,0,0,ChIJ1RNXxRiaQIYRyMgQKyf45pI,USA Karate,4.9,21.0,high_confidence
1196022,Children's Lighthouse at Heritage,FORT WORTH,4851 SHIVER RD,76244 6115,7,2,3,0,0,12,0.571,0.333,291,21,0,9.9,0,0,0,0,0,ChIJ1RsNwTfYTYYRPXL-uqZ_Dns,Children's Lighthouse of Keller - Fort Worth,4.7,166.0,medium_confidence
98235,J B Adams School,HOUSTON,4601 HIRSCH RD,77026 2745,7,15,4,2,0,28,1.556,0.389,48,18,0,40.1,0,1,0,0,0,ChIJ1Rt-dmu5QIYRQO_ncIT2q0g,"J. B. Adams Infant, Toddler & Preschool",4.5,16.0,medium_confidence
1378050,Brainy Bunch Learning Center Inc,HOUSTON,16140 KUYKENDAHL RD STE 128,77068 3337,2,5,6,1,1,15,1.071,0.143,92,14,0,4.1,0,1,0,0,0,ChIJ1SwierzLQIYRrKx04MNPgqM,"Brainy Bunch Learning Center, Inc",4.5,25.0,high_confidence
665377,Y Early Learning Center,SAN ANTONIO,600 LEAL ST,78207,7,11,4,0,0,22,0.846,0.269,120,26,0,14.9,0,1,0,0,0,ChIJ1THAu25fXIYRbP0zCoNoicE,Haven for Hope Early Learning Center,3.0,8.0,medium_confidence
1384364,JOY Holistic Education,SAN ANTONIO,22864 CIELO VIS,78255 9504,11,8,5,2,0,26,1.182,0.5,102,22,2,3.8,0,1,0,0,0,ChIJ1U5oo6FnXIYRY6VSxh98bSM,JOY Holistic Education,4.7,23.0,high_confidence
1315947,Woodland Montessori,AUSTIN,13180 POND SPRINGS RD,78729 7101,1,0,0,0,0,1,0.143,0.143,74,7,0,6.8,0,0,0,0,0,ChIJ1VqOs88yW4YRVF0iXoxpWTM,Woodland Montessori,5.0,11.0,high_confidence
1242998,Dimples Childcare Learning Center,HOUSTON,6720 HOMESTEAD RD,77028 5020,22,68,42,8,0,140,2.692,0.423,85,52,10,8.6,0,1,0,0,0,ChIJ1WU_79K7QIYRCBYwIsuXrog,DIMPLES CHILD CARE & LEARNING CENTER,5.0,1.0,high_confidence
1403048,Home Sweet Home Childcare,HOUSTON,16618 CLAY RD,77084 4088,13,16,12,2,0,43,1.87,0.565,85,23,2,2.7,0,1,0,0,0,ChIJ1We8YvHZQIYRPDCz-J18QQw,Home Sweet Home Child Care & Pre School,4.4,44.0,medium_confidence
1103009,Life Time Fitness Camps,SAN ANTONIO,18510 US HIGHWAY 281 N,78259 7604,3,8,2,0,0,13,1.444,0.333,150,9,2,12.1,0,0,0,0,0,ChIJ1ZA-4_WJXIYRt4y1yU3QQ6o,Life Time,4.0,590.0,medium_confidence
1364087,Gessner Kiddie Kollege,HOUSTON,8895 W BELLFORT ST,77031 2405,2,3,4,0,0,9,0.5,0.111,232,18,0,4.7,0,1,0,0,0,ChIJ1acG2C_oQIYRCwKBBaOibVc,Gessner Kiddie Kollege,4.4,123.0,high_confidence
1373822,Computer Kids Hope Academy,HOUSTON,16233 CLAY RD STE 300,77084 5423,7,16,6,0,0,29,1.706,0.412,154,17,1,4.1,0,1,0,0,0,ChIJ1c0X38nXQIYR-_i1sXe8Vws,Computer Kids Hope Academy - 24 Hour Daycare Houston,4.0,26.0,medium_confidence
1350391,Little Treehouse Early Learning Center #4,SAN ANTONIO,5440 BABCOCK RD STE 100,78240 3946,15,24,10,2,0,51,1.085,0.319,141,47,1,5.1,0,1,0,0,0,ChIJ1cDPqWBnXIYR95Lh5hBycLk,Little Treehouse Early Learning Center,3.5,46.0,high_confidence
102879,Chapelwood United Methodist SC,HOUSTON,11140 GREENBAY ST,77024 6729,4,8,3,1,0,16,1.333,0.333,382,12,1,38.8,1,0,0,0,0,ChIJ1cW3Yw7FQIYRJuO4j7qn9I4,"Chapelwood United Methodist Church - Houston, TX",4.7,184.0,medium_confidence
1157032,Nabor House Community,HOUSTON,8009 LONG POINT RD,77055 2034,1,5,2,0,0,8,1.143,0.143,78,7,0,10.9,0,1,0,0,0,ChIJ1dJnTCXEQIYRjWH4SPIHa4g,Nabor House Community,4.3,34.0,high_confidence
1372769,Imagination Island,HOUSTON,4003 KELLEY ST STE C,77026 1586,3,8,13,1,2,27,2.25,0.25,41,12,1,4.4,0,1,0,0,0,ChIJ1e88sQy5QIYRVlP7syUrKJE,Imagination Island,1.0,1.0,high_confidence
96256,Toddler House No 6,HOUSTON,6606 W 43RD ST,77092 5702,6,20,13,0,1,40,2.0,0.3,125,20,1,38.7,0,1,0,0,0,ChIJ1eOGPMPFQIYR7bnY0bmBshQ,The Toddler House Spring Branch,4.0,34.0,medium_confidence
1377510,Schola International,AUSTIN,9002 ANDERSON MILL RD,78729 4501,3,6,4,2,0,15,1.25,0.25,65,12,2,4.2,0,0,0,0,0,ChIJ1fd2xavNRIYR1st6ti5q9FY,Schola International,5.0,77.0,high_confidence
170833,Early Head Start  Lakewest Program,DALLAS,3737 GOLDMAN ST,75212 2471,1,0,0,0,0,1,0.111,0.111,204,9,0,24.3,1,0,0,0,0,ChIJ1w2hlXyXToYR8gk8l3aBd_k,Early Head Start @ Lakewest,4.7,3.0,high_confidence
1465703,Neighborhood Christian Learning Center of Pleasant Grove,DALLAS,9009 BRUTON RD STE 447,75217 2012,0,0,0,0,0,0,0.0,0.0,100,10,0,1.6,1,1,0,0,0,ChIJ1x7eUk2jToYRdEHEFc8V-HA,Neighborhood Christian Learning Center of Pleasant Grove,5.0,13.0,high_confidence
1395919,Kiddie Academy of Far North Dallas,DALLAS,6220 MCCALLUM BLVD,75252,7,11,6,0,0,24,1.2,0.35,200,20,0,3.2,0,1,0,0,0,ChIJ1xHetPkjTIYR8Ky6x80vNo8,Kiddie Academy of Far North Dallas,5.0,50.0,high_confidence
149500,Crenshaw Athletic Club,AUSTIN,5000 FAIRVIEW DR,78731 5424,1,4,5,1,0,11,2.2,0.2,86,5,1,28.0,0,0,0,0,0,ChIJ1yAno-jKRIYRtC_ID1-DXeg,Crenshaw Athletic Club,4.5,28.0,high_confidence
99287,Wallisville KinderCare,HOUSTON,14614 WALLISVILLE RD,77049 4436,7,11,9,1,0,28,2.0,0.5,100,14,2,39.2,0,1,0,0,0,ChIJ1yFlh_SkQIYRtY_c5VBmjkk,Wallisville KinderCare,4.2,53.0,high_confidence
1187960,The Goddard School,HOUSTON,9739 WORTHAM BLVD,77065 3420,15,12,9,0,0,36,0.973,0.405,243,37,0,10.0,0,0,0,0,0,ChIJ1yW_MG3RQIYRRHyEt2PUJak,The Goddard School of Houston - Jersey Village,4.4,64.0,medium_confidence
1303419,Yorktown Spanish School,DALLAS,123 E COLORADO BLVD,75203 1209,0,1,4,1,0,6,0.857,0.0,80,7,0,7.3,0,1,0,0,0,ChIJ2-X84tiZToYRF8HhBr8RJ_Y,Yorktown Spanish School,4.9,34.0,high_confidence
95502,Northway Christian Day School,DALLAS,7202 W NORTHWEST HWY,75225 2450,1,1,0,1,0,3,0.6,0.2,157,5,0,26.7,0,0,0,0,0,ChIJ2094gLCfToYRNHGRsI3uIZo,Northway Christian Day School,5.0,3.0,high_confidence
1101579,"BusiBodies Academy, Inc.",HOUSTON,3926 ERIE ST,77087 4716,2,2,1,1,0,6,0.545,0.182,164,11,1,13.0,0,1,0,0,0,ChIJ20oUBIi9QIYRZ8YiMs_3p5Y,Busi Bodies Academy,3.8,20.0,medium_confidence
1092895,"The Kipling School, Inc.",HOUSTON,620 SHEPHERD DR,77007 5351,2,7,5,2,0,16,1.778,0.222,208,9,2,12.5,0,0,0,0,0,ChIJ227YgLPAQIYR9nZZROpibps,The Kipling School - Preschool on Shepherd,3.3,10.0,medium_confidence
279154,Alpha Academy #2,HOUSTON,7722 VAN NESS ST,77037 4627,0,0,0,0,0,0,0.0,0.0,59,6,0,20.0,0,1,0,0,0,ChIJ22E_Xfu3QIYRgUDohSpLS5E,Alpha Academy #2,4.6,17.0,high_confidence
1124598,Clay Road Baptist Early Child Care,HOUSTON,9151 CLAY RD,77080 1601,11,17,15,2,1,46,3.286,0.786,153,14,5,11.7,0,0,0,0,0,ChIJ22reIqHFQIYR_dhd7YLo9kI,Clay Road Baptist Early Child Care,4.1,11.0,high_confidence
1389427,The Learning Experience Southwest Austin,AUSTIN,7814 HIGHWAY 290 W,78736 3217,6,0,1,0,0,7,0.318,0.273,193,22,0,3.6,0,1,0,0,0,ChIJ22yvtSpJW4YRMS9wfNkSebA,The Learning Experience - Southwest Austin,4.9,131.0,high_confidence
127935,St Rose Of Lima,HOUSTON,3600 BRINKMAN ST,77018 6329,4,10,6,2,0,22,0.688,0.125,250,32,0,32.7,0,0,0,0,0,ChIJ22yw3KHHQIYRdFURgcVZffE,St. Rose of Lima Catholic Community,4.6,96.0,medium_confidence
